state,abbr,avg_price_aud,cafes_priced,vs_national
Northern Territory,NT,5.34,57,+0.35
South Australia,SA,5.14,375,+0.15
Tasmania,TAS,5.13,186,+0.14
Western Australia,WA,5.05,657,+0.06
Queensland,QLD,5.04,1373,+0.05
Australian Capital Territory,ACT,5.02,194,+0.03
Victoria,VIC,4.99,1349,0.00
New South Wales,NSW,4.89,1833,-0.10
